Object,Filter,MJD,Flux,Error
1H2106-099,g,58670.146687, 3.965, 0.033
1H2106-099,g,58670.148226, 3.954, 0.035
1H2106-099,g,58676.878905, 3.894, 0.030
1H2106-099,g,58676.880609, 3.902, 0.030
1H2106-099,g,58677.066537, 3.907, 0.030
1H2106-099,g,58677.068229, 3.890, 0.030
1H2106-099,g,58678.100651, 3.933, 0.032
1H2106-099,g,58678.102344, 3.971, 0.030
1H2106-099,g,58679.870875, 4.099, 0.040
1H2106-099,g,58679.872567, 4.085, 0.040
1H2106-099,g,58686.049378, 4.281, 0.031
1H2106-099,g,58686.057858, 4.271, 0.030
1H2106-099,g,58686.059180, 4.294, 0.032
1H2106-099,g,58689.989011, 4.253, 0.030
1H2106-099,g,58689.990715, 4.257, 0.030
1H2106-099,g,58698.063480, 4.205, 0.031
1H2106-099,g,58698.065183, 4.214, 0.030
1H2106-099,g,58699.067974, 4.240, 0.030
1H2106-099,g,58699.069666, 4.243, 0.030
1H2106-099,g,58704.927548, 4.406, 0.030
1H2106-099,g,58704.929252, 4.591, 0.038
1H2106-099,g,58705.799985, 4.338, 0.031
1H2106-099,g,58705.801678, 4.303, 0.038
1H2106-099,g,58712.815773, 4.456, 0.033
1H2106-099,g,58712.817473, 4.464, 0.033
1H2106-099,g,58715.858746, 4.470, 0.030
1H2106-099,g,58715.860438, 4.477, 0.030
1H2106-099,g,58717.933580, 4.584, 0.030
1H2106-099,g,58717.935273, 4.579, 0.030
1H2106-099,g,58718.768375, 4.569, 0.030
1H2106-099,g,58718.770079, 4.568, 0.030
1H2106-099,g,58719.796039, 4.610, 0.030
1H2106-099,g,58719.797731, 4.603, 0.030
1H2106-099,g,58720.759076, 4.593, 0.030
1H2106-099,g,58720.760771, 4.568, 0.035
1H2106-099,g,58722.009635, 4.617, 0.030
1H2106-099,g,58722.011336, 4.600, 0.033
1H2106-099,g,58726.768458, 4.643, 0.030
1H2106-099,g,58726.770150, 4.652, 0.030
1H2106-099,g,58727.768426, 4.659, 0.030
1H2106-099,g,58727.770107, 4.636, 0.030
1H2106-099,g,58731.810763, 4.674, 0.030
1H2106-099,g,58731.812096, 4.674, 0.030
1H2106-099,g,58732.760765, 4.620, 0.030
1H2106-099,g,58732.762456, 4.646, 0.030
1H2106-099,g,58732.803613, 4.649, 0.030
1H2106-099,g,58732.804955, 4.621, 0.030
1H2106-099,g,58734.721212, 4.655, 0.034
1H2106-099,g,58734.722904, 4.628, 0.034
1H2106-099,g,58734.748590, 4.676, 0.032
1H2106-099,g,58734.750294, 4.613, 0.032
1H2106-099,g,58751.826154, 4.669, 0.029
1H2106-099,g,58751.827849, 4.653, 0.029
1H2106-099,g,58753.729737, 4.517, 0.030
1H2106-099,g,58753.731441, 4.504, 0.030
1H2106-099,g,58762.833035, 4.367, 0.030
1H2106-099,g,58762.834731, 4.383, 0.030
1H2106-099,g,58762.865869, 4.486, 0.081
1H2106-099,g,58762.867213, 4.404, 0.127
1H2106-099,g,58767.794915, 4.482, 0.030
1H2106-099,g,58767.796619, 4.476, 0.030
1H2106-099,g,58768.740662, 4.471, 0.030
1H2106-099,g,58768.742361, 4.482, 0.030
1H2106-099,g,58769.738108, 4.454, 0.030
1H2106-099,g,58769.739802, 4.472, 0.030
1H2106-099,g,58770.738829, 4.447, 0.031
1H2106-099,g,58770.740529, 4.436, 0.034
1H2106-099,g,58771.759242, 4.499, 0.030
1H2106-099,g,58771.760938, 4.493, 0.030
1H2106-099,g,58772.800156, 4.505, 0.032
1H2106-099,g,58772.801859, 4.498, 0.034
1H2106-099,g,58781.805341, 4.688, 0.031
1H2106-099,g,58781.807056, 4.684, 0.032
1H2106-099,g,58796.807858, 4.698, 0.031
1H2106-099,g,58796.809209, 4.673, 0.031
1H2106-099,g,58800.791804, 4.728, 0.030
1H2106-099,g,58800.793148, 4.728, 0.030
1H2106-099,g,58675.902156, 3.897, 0.018
1H2106-099,g,58675.903499, 3.889, 0.018
1H2106-099,g,58677.876482, 3.955, 0.019
1H2106-099,g,58677.878174, 3.970, 0.019
1H2106-099,g,58678.873632, 3.939, 0.026
1H2106-099,g,58678.875323, 3.979, 0.021
1H2106-099,g,58679.114253, 4.039, 0.018
1H2106-099,g,58681.014681, 4.015, 0.032
1H2106-099,g,58681.016373, 4.059, 0.031
1H2106-099,g,58684.956959, 4.240, 0.018
1H2106-099,g,58684.958652, 4.264, 0.018
1H2106-099,g,58690.883872, 4.212, 0.017
1H2106-099,g,58690.885566, 4.240, 0.017
1H2106-099,g,58692.044065, 4.176, 0.018
1H2106-099,g,58692.045781, 4.173, 0.018
1H2106-099,g,58692.938273, 4.153, 0.017
1H2106-099,g,58692.940000, 4.156, 0.017
1H2106-099,g,58693.083268, 4.142, 0.017
1H2106-099,g,58693.084960, 4.143, 0.017
1H2106-099,g,58698.883135, 4.260, 0.017
1H2106-099,g,58698.884479, 4.273, 0.017
1H2106-099,g,58704.817747, 4.334, 0.019
1H2106-099,g,58704.819092, 4.313, 0.018
1H2106-099,g,58707.937017, 4.405, 0.021
1H2106-099,g,58707.938362, 4.375, 0.021
1H2106-099,g,58707.964338, 4.416, 0.019
1H2106-099,g,58707.966031, 4.403, 0.019
1H2106-099,g,58711.791448, 4.471, 0.026
1H2106-099,g,58711.793144, 4.451, 0.026
1H2106-099,g,58713.794885, 4.421, 0.018
1H2106-099,g,58713.796577, 4.421, 0.018
1H2106-099,g,58714.998735, 4.454, 0.018
1H2106-099,g,58715.000420, 4.465, 0.018
1H2106-099,g,58715.876067, 4.490, 0.018
1H2106-099,g,58715.877410, 4.483, 0.018
1H2106-099,g,58717.011287, 4.512, 0.018
1H2106-099,g,58717.012980, 4.522, 0.018
1H2106-099,g,58723.948851, 4.690, 0.017
1H2106-099,g,58723.950543, 4.681, 0.017
1H2106-099,g,58746.761965, 4.629, 0.019
1H2106-099,g,58749.850900, 4.594, 0.017
1H2106-099,g,58749.852592, 4.603, 0.017
1H2106-099,g,58752.890486, 4.405, 0.019
1H2106-099,g,58752.892179, 4.401, 0.020
1H2106-099,g,58759.871299, 4.259, 0.017
1H2106-099,g,58759.872991, 4.245, 0.017
1H2106-099,g,58768.845596, 4.467, 0.018
1H2106-099,g,58768.847278, 4.481, 0.018
1H2106-099,g,58660.684969, 4.358, 0.021
1H2106-099,g,58660.686684, 4.365, 0.021
1H2106-099,g,58664.768462, 4.258, 0.021
1H2106-099,g,58664.770179, 4.241, 0.021
1H2106-099,g,58665.683979, 4.180, 0.028
1H2106-099,g,58665.685672, 4.149, 0.084
1H2106-099,g,58666.717975, 4.136, 0.021
1H2106-099,g,58666.719679, 4.139, 0.021
1H2106-099,g,58684.681449, 4.288, 0.030
1H2106-099,g,58684.683167, 4.263, 0.023
1H2106-099,g,58686.682717, 4.308, 0.027
1H2106-099,g,58686.684421, 4.306, 0.026
1H2106-099,g,58686.707904, 4.283, 0.021
1H2106-099,g,58686.709610, 4.259, 0.021
1H2106-099,g,58687.751636, 4.275, 0.021
1H2106-099,g,58687.752981, 4.265, 0.021
1H2106-099,g,58688.567077, 4.257, 0.021
1H2106-099,g,58688.568794, 4.255, 0.021
1H2106-099,g,58690.733806, 4.225, 0.021
1H2106-099,g,58690.735498, 4.227, 0.021
1H2106-099,g,58691.630116, 4.224, 0.022
1H2106-099,g,58691.631472, 4.241, 0.027
1H2106-099,g,58691.690282, 4.206, 0.021
1H2106-099,g,58691.692000, 4.215, 0.021
1H2106-099,g,58696.704864, 4.165, 0.021
1H2106-099,g,58696.706568, 4.161, 0.021
1H2106-099,g,58701.566406, 4.300, 0.030
1H2106-099,g,58701.567512, 4.290, 0.021
1H2106-099,g,58701.569205, 4.310, 0.025
1H2106-099,g,58703.455915, 4.288, 0.021
1H2106-099,g,58703.457621, 4.291, 0.021
1H2106-099,g,58707.567443, 4.373, 0.022
1H2106-099,g,58707.569148, 4.362, 0.021
1H2106-099,g,58712.426496, 4.441, 0.023
1H2106-099,g,58712.428212, 4.442, 0.023
1H2106-099,g,58714.546133, 4.447, 0.021
1H2106-099,g,58714.547827, 4.461, 0.021
1H2106-099,g,58714.678724, 4.457, 0.021
1H2106-099,g,58714.680430, 4.445, 0.021
1H2106-099,g,58728.618437, 4.629, 0.021
1H2106-099,g,58728.620131, 4.645, 0.021
1H2106-099,g,58731.574042, 4.678, 0.021
1H2106-099,g,58731.575758, 4.684, 0.022
1H2106-099,g,58733.489793, 4.638, 0.022
1H2106-099,g,58733.491497, 4.632, 0.021
1H2106-099,g,58739.572622, 4.388, 0.037
1H2106-099,g,58739.574314, 4.374, 0.041
1H2106-099,g,58740.540090, 4.677, 0.028
1H2106-099,g,58740.541795, 4.670, 0.026
1H2106-099,g,58741.528800, 4.691, 0.026
1H2106-099,g,58741.530494, 4.701, 0.029
1H2106-099,g,58741.583335, 4.705, 0.030
1H2106-099,g,58741.585041, 4.690, 0.026
1H2106-099,g,58745.542832, 4.667, 0.022
1H2106-099,g,58745.544536, 4.666, 0.022
1H2106-099,g,58748.518263, 4.640, 0.027
1H2106-099,g,58748.519967, 4.644, 0.028
1H2106-099,g,58749.430938, 4.604, 0.024
1H2106-099,g,58749.432644, 4.604, 0.024
1H2106-099,g,58751.451324, 4.528, 0.025
1H2106-099,g,58751.453028, 4.518, 0.022
1H2106-099,g,58752.461452, 4.467, 0.021
1H2106-099,g,58752.463158, 4.457, 0.021
1H2106-099,g,58758.522610, 4.202, 0.021
1H2106-099,g,58758.524316, 4.182, 0.021
1H2106-099,g,58759.389966, 4.196, 0.021
1H2106-099,g,58759.391322, 4.221, 0.021
1H2106-099,g,58760.375836, 4.244, 0.021
1H2106-099,g,58760.377553, 4.252, 0.021
1H2106-099,g,58761.549581, 4.290, 0.021
1H2106-099,g,58761.551287, 4.294, 0.021
1H2106-099,g,58762.415018, 4.333, 0.023
1H2106-099,g,58762.416724, 4.361, 0.027
1H2106-099,g,58766.456076, 4.383, 0.024
1H2106-099,g,58766.457781, 4.408, 0.024
1H2106-099,g,58768.386127, 4.433, 0.024
1H2106-099,g,58768.387821, 4.440, 0.024
1H2106-099,g,58769.508608, 4.443, 0.025
1H2106-099,g,58770.481268, 4.468, 0.022
1H2106-099,g,58770.482973, 4.462, 0.022
1H2106-099,g,58771.409754, 4.462, 0.021
1H2106-099,g,58771.411459, 4.490, 0.021
1H2106-099,g,58773.434147, 4.534, 0.021
1H2106-099,g,58773.435848, 4.537, 0.021
1H2106-099,g,58776.427930, 4.635, 0.021
1H2106-099,g,58776.429631, 4.646, 0.022
1H2106-099,g,58777.454207, 4.669, 0.022
1H2106-099,g,58778.449929, 4.683, 0.023
1H2106-099,g,58778.451635, 4.681, 0.023
1H2106-099,g,58779.388867, 4.638, 0.021
1H2106-099,g,58779.390573, 4.671, 0.021
1H2106-099,g,58782.412756, 4.696, 0.021
1H2106-099,g,58782.414450, 4.684, 0.021
1H2106-099,g,58783.449928, 4.711, 0.021
1H2106-099,g,58783.451634, 4.711, 0.021
1H2106-099,g,58787.425314, 4.636, 0.023
1H2106-099,g,58787.427019, 4.589, 0.022
1H2106-099,g,58793.412496, 4.717, 0.022
1H2106-099,g,58793.413854, 4.708, 0.022
1H2106-099,g,58793.443499, 4.701, 0.022
1H2106-099,g,58793.444855, 4.727, 0.024
1H2106-099,g,58658.084815, 4.355, 0.017
1H2106-099,g,58658.086508, 4.351, 0.017
1H2106-099,g,58664.095491, 4.282, 0.016
1H2106-099,g,58664.097184, 4.290, 0.016
1H2106-099,g,58668.102705, 4.073, 0.016
1H2106-099,g,58668.104401, 4.087, 0.016
1H2106-099,g,58673.998872, 3.871, 0.016
1H2106-099,g,58674.000556, 3.861, 0.016
1H2106-099,g,58696.824387, 4.159, 0.016
1H2106-099,g,58696.826079, 4.171, 0.016
1H2106-099,g,58701.918511, 4.259, 0.016
1H2106-099,g,58701.920201, 4.258, 0.016
1H2106-099,g,58713.023906, 4.463, 0.024
1H2106-099,g,58713.025587, 4.467, 0.024
1H2106-099,g,58714.035449, 4.422, 0.018
1H2106-099,g,58714.037141, 4.420, 0.018
1H2106-099,g,58721.892885, 4.637, 0.016
1H2106-099,g,58721.894581, 4.643, 0.016
1H2106-099,g,58729.849071, 4.659, 0.016
1H2106-099,g,58729.850770, 4.648, 0.016
1H2106-099,g,58743.795008, 4.672, 0.016
1H2106-099,g,58743.796689, 4.661, 0.016
1H2106-099,g,58744.910612, 4.613, 0.024
1H2106-099,g,58744.912301, 4.600, 0.027
1H2106-099,g,58748.818835, 4.590, 0.016
1H2106-099,g,58748.820527, 4.582, 0.016
1H2106-099,g,58752.833204, 4.407, 0.021
1H2106-099,g,58752.834893, 4.430, 0.016
1H2106-099,g,58756.764928, 4.216, 0.016
1H2106-099,g,58756.766632, 4.230, 0.016
1H2106-099,g,58757.780250, 4.197, 0.016
1H2106-099,g,58757.781942, 4.217, 0.016
1H2106-099,g,58758.878276, 4.130, 0.208
1H2106-099,g,58760.751122, 4.299, 0.016
1H2106-099,g,58760.752816, 4.280, 0.016
1H2106-099,g,58766.794999, 4.502, 0.019
1H2106-099,g,58766.796703, 4.497, 0.018
1H2106-099,g,58769.752841, 4.490, 0.018
1H2106-099,g,58769.754183, 4.472, 0.018
1H2106-099,g,58774.751715, 4.575, 0.016
1H2106-099,g,58774.753412, 4.577, 0.016
1H2106-099,g,58775.760133, 4.625, 0.016
1H2106-099,g,58775.761825, 4.607, 0.016
1H2106-099,g,58777.771702, 4.692, 0.016
1H2106-099,g,58777.773394, 4.694, 0.016
1H2106-099,g,58778.823091, 4.589, 0.036
1H2106-099,g,58778.824783, 4.697, 0.023
1H2106-099,g,58787.820031, 4.758, 0.016
1H2106-099,g,58787.821723, 4.764, 0.016
1H2106-099,g,58726.254032, 4.639, 0.040
1H2106-099,g,58726.255720, 4.652, 0.040
1H2106-099,g,58727.066991, 4.638, 0.040
1H2106-099,g,58727.068683, 4.647, 0.040
1H2106-099,g,58727.200801, 4.645, 0.040
1H2106-099,g,58727.202493, 4.664, 0.040
1H2106-099,g,58728.229388, 4.646, 0.040
1H2106-099,g,58728.231075, 4.649, 0.040
1H2106-099,g,58730.154559, 4.643, 0.040
1H2106-099,g,58730.156255, 4.653, 0.040
1H2106-099,g,58732.229080, 4.515, 0.057
1H2106-099,g,58732.230787, 4.660, 0.043
1H2106-099,g,58744.151896, 4.670, 0.041
1H2106-099,g,58744.153592, 4.675, 0.041
1H2106-099,g,58746.027521, 4.695, 0.040
1H2106-099,g,58746.029202, 4.692, 0.040
1H2106-099,g,58746.160875, 4.679, 0.040
1H2106-099,g,58746.162579, 4.670, 0.040
1H2106-099,g,58753.104697, 4.399, 0.040
1H2106-099,g,58753.106404, 4.377, 0.040
1H2106-099,g,58755.098227, 4.315, 0.040
1H2106-099,g,58755.099921, 4.313, 0.040
1H2106-099,g,58756.018269, 4.277, 0.040
1H2106-099,g,58756.019956, 4.267, 0.040
1H2106-099,g,58758.107589, 4.209, 0.040
1H2106-099,g,58758.109283, 4.189, 0.040
1H2106-099,g,58763.019211, 4.371, 0.041
1H2106-099,g,58763.020549, 4.380, 0.041
1H2106-099,g,58766.013110, 4.455, 0.041
1H2106-099,g,58766.014814, 4.476, 0.041
1H2106-099,g,58766.109114, 4.431, 0.041
1H2106-099,g,58766.110806, 4.410, 0.041
1H2106-099,g,58767.136840, 4.813, 0.090
1H2106-099,g,58771.126993, 4.419, 0.071
1H2106-099,g,58771.128688, 4.044, 0.110
1H2106-099,g,58774.095566, 4.557, 0.041
1H2106-099,g,58774.096912, 4.563, 0.041
1H2106-099,g,58775.081827, 4.556, 0.040
1H2106-099,g,58775.083531, 4.562, 0.040
1H2106-099,g,58775.109844, 4.552, 0.040
1H2106-099,g,58775.111543, 4.557, 0.040
1H2106-099,g,58777.119918, 4.667, 0.041
1H2106-099,g,58777.121263, 4.638, 0.041
1H2106-099,g,58783.044602, 5.302, 0.126
1H2106-099,g,58783.046288, 5.386, 0.147
1H2106-099,g,58663.387622, 4.312, 0.039
1H2106-099,g,58663.389315, 4.332, 0.039
1H2106-099,g,58665.391071, 4.224, 0.039
1H2106-099,g,58665.392416, 4.239, 0.039
1H2106-099,g,58670.438680, 3.928, 0.040
1H2106-099,g,58670.440384, 3.987, 0.040
1H2106-099,g,58690.393490, 4.250, 0.039
1H2106-099,g,58690.395195, 4.236, 0.039
1H2106-099,g,58692.354449, 4.173, 0.039
1H2106-099,g,58692.356141, 4.201, 0.039
1H2106-099,g,58702.355895, 4.233, 0.041
1H2106-099,g,58702.357239, 4.372, 0.053
1H2106-099,g,58704.341252, 4.307, 0.039
1H2106-099,g,58704.342945, 4.314, 0.039
1H2106-099,g,58705.354231, 4.331, 0.039
1H2106-099,g,58705.355924, 4.334, 0.039
1H2106-099,g,58715.331766, 4.466, 0.040
1H2106-099,g,58715.333459, 4.455, 0.040
1H2106-099,g,58721.226424, 4.503, 0.044
1H2106-099,g,58721.228117, 4.774, 0.040
1H2106-099,g,58722.232849, 4.654, 0.039
1H2106-099,g,58722.234542, 4.642, 0.039
1H2106-099,g,58724.228147, 4.713, 0.043
1H2106-099,g,58724.229840, 4.618, 0.046
1H2106-099,g,58730.263943, 4.661, 0.039
1H2106-099,g,58730.265636, 4.661, 0.039
1H2106-099,g,58731.257451, 4.575, 0.049
1H2106-099,g,58733.277122, 4.658, 0.039
1H2106-099,g,58733.278818, 4.637, 0.039
1H2106-099,g,58755.183128, 4.279, 0.039
1H2106-099,g,58755.184832, 4.284, 0.039
1H2106-099,g,58685.365628, 4.276, 0.026
1H2106-099,g,58685.367321, 4.250, 0.026
1H2106-099,g,58689.327835, 4.243, 0.027
1H2106-099,g,58689.329539, 4.322, 0.027
1H2106-099,g,58689.382971, 4.236, 0.025
1H2106-099,g,58689.384675, 4.258, 0.025
1H2106-099,g,58693.388658, 4.150, 0.025
1H2106-099,g,58693.390351, 4.140, 0.025
1H2106-099,g,58694.263612, 4.119, 0.025
1H2106-099,g,58694.265307, 4.112, 0.025
1H2106-099,g,58694.382897, 4.134, 0.025
1H2106-099,g,58694.384592, 4.105, 0.025
1H2106-099,g,58697.379469, 4.193, 0.025
1H2106-099,g,58697.381167, 4.192, 0.025
1H2106-099,g,58698.375633, 4.274, 0.025
1H2106-099,g,58698.377337, 4.282, 0.025
1H2106-099,g,58701.216349, 4.261, 0.025
1H2106-099,g,58701.218045, 4.256, 0.025
1H2106-099,g,58719.308123, 4.511, 0.058
1H2106-099,g,58719.309456, 4.327, 0.067
1H2106-099,g,58720.170643, 4.589, 0.025
1H2106-099,g,58720.172338, 4.581, 0.025
1H2106-099,g,58720.212765, 4.606, 0.025
1H2106-099,g,58720.214494, 4.598, 0.025
1H2106-099,g,58722.291183, 4.631, 0.025
1H2106-099,g,58722.292875, 4.638, 0.025
1H2106-099,g,58776.140177, 4.624, 0.025
1H2106-099,g,58776.141881, 4.607, 0.025
1H2106-099,g,58784.095006, 5.086, 0.044
1H2106-099,g,58784.136262, 5.109, 0.049
1H2106-099,g,58784.137956, 4.899, 0.025
1H2106-099,g,58788.134615, 4.759, 0.025
1H2106-099,g,58788.135960, 4.780, 0.025
1H2106-099,g,58657.321346, 4.346, 0.017
1H2106-099,g,58657.323040, 4.335, 0.020
1H2106-099,g,58657.382790, 4.340, 0.018
1H2106-099,g,58657.384145, 4.359, 0.016
1H2106-099,g,58659.332022, 4.390, 0.017
1H2106-099,g,58659.333380, 4.389, 0.016
1H2106-099,g,58659.335074, 4.398, 0.016
1H2106-099,g,58659.424589, 4.381, 0.016
1H2106-099,g,58659.426277, 4.385, 0.016
1H2106-099,g,58660.299574, 4.386, 0.016
1H2106-099,g,58660.301255, 4.391, 0.016
1H2106-099,g,58662.172473, 4.305, 0.020
1H2106-099,g,58662.174166, 4.306, 0.020
1H2106-099,g,58665.370955, 4.235, 0.015
1H2106-099,g,58665.372656, 4.229, 0.015
1H2106-099,g,58666.254620, 4.166, 0.016
1H2106-099,g,58666.256308, 4.156, 0.019
1H2106-099,g,58667.400427, 4.129, 0.015
1H2106-099,g,58667.402113, 4.120, 0.015
1H2106-099,g,58671.264959, 3.986, 0.064
1H2106-099,g,58671.266640, 3.820, 0.088
1H2106-099,g,58672.337732, 3.927, 0.052
1H2106-099,g,58672.339416, 3.844, 0.023
1H2106-099,g,58675.174578, 3.869, 0.016
1H2106-099,g,58675.176262, 3.874, 0.016
1H2106-099,g,58675.211183, 3.887, 0.016
1H2106-099,g,58675.212874, 3.889, 0.016
1H2106-099,g,58676.134485, 3.882, 0.016
1H2106-099,g,58676.136173, 3.895, 0.016
1H2106-099,g,58677.294972, 3.942, 0.016
1H2106-099,g,58677.296662, 3.922, 0.016
1H2106-099,g,58679.182248, 3.997, 0.023
1H2106-099,g,58679.183593, 3.986, 0.025
1H2106-099,g,58680.123564, 3.961, 0.037
1H2106-099,g,58680.125257, 3.943, 0.042
1H2106-099,g,58681.244753, 4.076, 0.020
1H2106-099,g,58681.246445, 4.072, 0.020
1H2106-099,g,58684.326010, 4.245, 0.017
1H2106-099,g,58684.327697, 4.225, 0.017
1H2106-099,g,58688.264842, 4.257, 0.016
1H2106-099,g,58688.266528, 4.268, 0.016
1H2106-099,g,58695.266500, 4.128, 0.015
1H2106-099,g,58695.268193, 4.131, 0.015
1H2106-099,g,58695.327950, 4.116, 0.018
1H2106-099,g,58695.329299, 4.120, 0.017
1H2106-099,g,58703.065779, 4.261, 0.022
1H2106-099,g,58703.067469, 4.272, 0.019
1H2106-099,g,58706.062994, 4.398, 0.037
1H2106-099,g,58706.064690, 4.371, 0.030
1H2106-099,g,58707.141903, 4.387, 0.017
1H2106-099,g,58707.143595, 4.401, 0.017
1H2106-099,g,58719.131438, 4.584, 0.016
1H2106-099,g,58719.133132, 4.603, 0.016
1H2106-099,g,58727.159498, 4.657, 0.016
1H2106-099,g,58727.160751, 4.650, 0.017
1H2106-099,g,58727.162037, 4.662, 0.016
1H2106-099,g,58727.163729, 4.637, 0.020
1H2106-099,g,58727.214094, 4.650, 0.017
1H2106-099,g,58727.215450, 4.640, 0.019
1H2106-099,g,58729.188007, 4.658, 0.016
1H2106-099,g,58729.189694, 4.655, 0.016
1H2106-099,g,58731.227979, 4.760, 0.019
1H2106-099,g,58731.229666, 4.711, 0.017
1H2106-099,g,58733.975330, 4.633, 0.018
1H2106-099,g,58733.977026, 4.613, 0.021
1H2106-099,g,58734.000755, 4.598, 0.025
1H2106-099,g,58734.002446, 4.609, 0.022
1H2106-099,g,58734.111026, 4.643, 0.016
1H2106-099,g,58734.112721, 4.639, 0.016
1H2106-099,g,58740.127672, 4.664, 0.018
1H2106-099,g,58740.129376, 4.642, 0.018
1H2106-099,g,58740.212864, 4.583, 0.054
1H2106-099,g,58740.213958, 4.586, 0.029
1H2106-099,g,58740.215656, 4.613, 0.023
1H2106-099,g,58741.987800, 4.651, 0.023
1H2106-099,g,58741.989492, 4.665, 0.019
1H2106-099,g,58743.104036, 4.675, 0.017
1H2106-099,g,58743.105726, 4.686, 0.016
1H2106-099,g,58744.166474, 4.655, 0.021
1H2106-099,g,58744.167831, 4.668, 0.018
1H2106-099,g,58745.110451, 4.683, 0.016
1H2106-099,g,58745.112139, 4.684, 0.016
1H2106-099,g,58747.084236, 4.643, 0.016
1H2106-099,g,58747.085944, 4.639, 0.016
1H2106-099,g,58747.184231, 4.614, 0.022
1H2106-099,g,58747.185925, 4.623, 0.019
1H2106-099,g,58751.032338, 4.513, 0.019
1H2106-099,g,58751.033688, 4.515, 0.018
1H2106-099,g,58751.175523, 4.513, 0.017
1H2106-099,g,58751.177218, 4.502, 0.020
1H2106-099,g,58752.122550, 4.471, 0.018
1H2106-099,g,58752.124241, 4.467, 0.019
1H2106-099,g,58755.098242, 4.289, 0.018
1H2106-099,g,58755.099589, 4.290, 0.018
1H2106-099,g,58756.165485, 4.257, 0.015
1H2106-099,g,58756.167177, 4.250, 0.015
1H2106-099,g,58757.026852, 4.185, 0.023
1H2106-099,g,58757.028547, 4.192, 0.021
1H2106-099,g,58762.020826, 4.316, 0.016
1H2106-099,g,58762.022519, 4.318, 0.016
1H2106-099,g,58762.082186, 4.340, 0.016
1H2106-099,g,58762.083873, 4.347, 0.016
1H2106-099,g,58772.122619, 4.474, 0.027
1H2106-099,g,58772.124312, 4.602, 0.020
1H2106-099,g,58772.998535, 4.526, 0.020
1H2106-099,g,58773.000229, 4.534, 0.018
1H2106-099,g,58774.012717, 4.557, 0.017
1H2106-099,g,58774.014398, 4.559, 0.017
1H2106-099,g,58774.082174, 4.586, 0.016
1H2106-099,g,58774.083867, 4.554, 0.018
1H2106-099,g,58774.127627, 4.546, 0.021
1H2106-099,g,58774.128971, 4.543, 0.021
1H2106-099,g,58776.005665, 4.672, 0.016
1H2106-099,g,58776.007354, 4.641, 0.016
1H2106-099,g,58777.011459, 4.655, 0.017
1H2106-099,g,58777.013151, 4.665, 0.016
1H2106-099,g,58662.364404, 4.321, 0.020
1H2106-099,g,58662.366305, 4.335, 0.024
1H2106-099,g,58662.377258, 4.326, 0.022
1H2106-099,g,58662.378951, 4.316, 0.019
1H2106-099,g,58664.377877, 4.305, 0.029
1H2106-099,g,58664.379563, 4.303, 0.028
1H2106-099,g,58668.351700, 4.067, 0.016
1H2106-099,g,58668.353397, 4.067, 0.016
1H2106-099,g,58669.361327, 4.041, 0.017
1H2106-099,g,58669.363019, 4.056, 0.021
1H2106-099,g,58671.217006, 3.908, 0.020
1H2106-099,g,58671.218351, 3.944, 0.020
1H2106-099,g,58673.346571, 3.856, 0.045
1H2106-099,g,58673.348266, 3.863, 0.026
1H2106-099,g,58676.328961, 3.920, 0.022
1H2106-099,g,58676.330653, 3.918, 0.022
1H2106-099,g,58684.231332, 4.190, 0.018
1H2106-099,g,58684.232670, 4.150, 0.018
1H2106-099,g,58699.294887, 4.254, 0.017
1H2106-099,g,58699.296576, 4.264, 0.019
1H2106-099,g,58700.224715, 4.276, 0.020
1H2106-099,g,58700.226408, 4.286, 0.022
1H2106-099,g,58704.271065, 4.301, 0.016
1H2106-099,g,58704.272758, 4.311, 0.016
1H2106-099,g,58705.110144, 4.377, 0.028
1H2106-099,g,58705.111840, 4.344, 0.019
1H2106-099,g,58705.131747, 4.353, 0.022
1H2106-099,g,58705.133439, 4.373, 0.026
1H2106-099,g,58712.060729, 4.430, 0.020
1H2106-099,g,58712.062416, 4.408, 0.020
1H2106-099,g,58712.093399, 4.446, 0.023
1H2106-099,g,58712.094756, 4.415, 0.020
1H2106-099,g,58716.223128, 4.489, 0.022
1H2106-099,g,58716.224820, 4.496, 0.024
1H2106-099,g,58721.270998, 4.631, 0.025
1H2106-099,g,58721.272690, 4.610, 0.020
1H2106-099,g,58723.245994, 4.662, 0.024
1H2106-099,g,58723.247686, 4.663, 0.024
1H2106-099,g,58725.001020, 4.644, 0.020
1H2106-099,g,58725.002713, 4.647, 0.021
1H2106-099,g,58725.188388, 4.670, 0.027
1H2106-099,g,58725.190081, 4.663, 0.026
1H2106-099,g,58726.056681, 4.605, 0.016
1H2106-099,g,58726.058371, 4.614, 0.016
1H2106-099,g,58727.098292, 4.659, 0.026
1H2106-099,g,58727.099984, 4.650, 0.024
1H2106-099,g,58729.207023, 4.652, 0.023
1H2106-099,g,58729.208715, 4.615, 0.016
1H2106-099,g,58739.103816, 4.592, 0.032
1H2106-099,g,58739.105504, 4.617, 0.032
1H2106-099,g,58739.166999, 4.625, 0.030
1H2106-099,g,58739.168689, 4.662, 0.036
1H2106-099,g,58740.216504, 4.624, 0.026
1H2106-099,g,58740.217852, 4.615, 0.026
1H2106-099,g,58741.098226, 4.693, 0.031
1H2106-099,g,58741.099914, 4.681, 0.028
1H2106-099,g,58744.197842, 4.676, 0.025
1H2106-099,g,58744.199221, 4.685, 0.027
1H2106-099,g,58748.103723, 4.629, 0.025
